CodIBGE,PIB_2016,PIB_2017,PIBCap2016,PIBCap2017,ChgPIB,ChgPIBCap,PopEst
3506508,3043544.348,3146638.418,25461.32,26071.64,0.033873030326549,0.023970477571469,123638
3507506,4157937.857,4290669.257,29482.23,30100.24,0.031922410715337,0.020962118537166,146497
3507605,5315536.121,5672442.615,32724.08,34553.72,0.067144025715483,0.055911121107148,168668
3508504,3750298.763,4075123.246,40816.02,44013.99,0.086612961667129,0.078350853414909,94263
3509502,57778152.309,59053563.023,49241.2,49942.59,0.022074273112422,0.014243966434612,1204073
3510500,2637451.03,2928286.47,22920.21,25073.95,0.110271408527346,0.093966852834245,121532
3510609,5223499.549,5494356.824,13241.98,13854.1,0.051853603596435,0.046225715489678,400927
3511102,3883564.781,3974659.114,32338.25,32932.52,0.023456370148805,0.018376690142478,121862
3512803,1582157.466,1575660.757,23280.72,22807.24,-0.004106234138897,-0.020337858966561,72252
3513009,10946113.976,11573369.38,46839.12,48678.74,0.057303935019797,0.039275289544295,249210
3513405,2045233.731,2136728.674,25123.87,26145.67,0.044735690407015,0.040670485876579,82238
3513504,13300613.797,12336913.497,104002.86,95822.18,-0.072455325348772,-0.078658221514293,130705
3513801,13419389.964,13412702.568,32321.86,32097.86,-4.98338301364e-4,-0.006930294234305,423884
3515004,9547646.535,11713048.883,36104.06,43860.23,0.226799592974249,0.21482819383748,273726
3516200,8903408.171,9409309.866,25829.14,27097.66,0.056821127963987,0.049111971982033,353187
3516705,1092278.721,1159124.846,24514.19,25999.84,0.061198779867103,0.060603674851178,44390
3518404,4791679.602,5277693.771,40013.02,43828.48,0.101428770153401,0.095355461797185,121798
3518701,8050354.264,8589741.428,25685.43,27220.37,0.067001668039885,0.059759170860679,320459
3518800,53095484.506,55743649.998,39709.82,41318.74,0.049875531161238,0.040516930069187,1379182
3519071,11245733.19,12928627.51,51341.24,58188.31,0.149647363276987,0.133363939008875,230851
3519600,1386536.406,1481595.697,23828.56,25233.68,0.068558813593821,0.058967893989398,60033
3520509,12282381.025,13489932.183,52183.96,56301.42,0.098315721971343,0.07890278928621,251627
3522109,1608295.508,1855369.708,16505.67,18811.6,0.153624877251103,0.139705325503297,101816
3522208,3143513.346,3281942.41,18589.34,19200.84,0.044036416825189,0.032895196924689,175693
3522307,4187366.808,4458856.756,26408.55,27855.67,0.06483548264301,0.054797404628425,163901
3522406,2447764.146,2371572.81,26279.07,25345.44,-0.031126910705228,-0.035527512959934,94354
3522604,3302773.659,3457944.126,44990.79,46827.69,0.046981865250488,0.04082835620357,74773
3522703,1198132.679,1373099.356,28160.22,32121.54,0.14603280593768,0.140670776009562,43120
3523107,6520877.544,6932298.016,18277.33,19221.3,0.063092807559093,0.051647040349985,370821
3523404,5387045.903,5566363.998,46879.75,47778.72,0.033286906818473,0.019176083490206,120858
3523909,7551210.917,7572821.467,44776.31,44504.91,0.002861865499128,-0.006061240865985,173939
3524303,2594416.778,2752005.485,34049.25,35944.33,0.060741476980997,0.055657026219373,77263
3524402,10535706.065,11696354.378,46165.91,50886.68,0.110163315665736,0.102256621823332,233662
3524808,1265684.527,1394460.473,25821.34,28394.63,0.101744110205118,0.099657492601081,49107
3525300,4294014.266,4560371.467,29649.06,31163.28,0.062029882645947,0.051071433630611,150252
3525706,1241723.614,1389990.879,34615.4,38399.66,0.119404401533754,0.109323018078659,37015
3525904,40317016.368,41227952.947,99366.63,100679.5,0.022594345044913,0.013212383271929,418962
3526704,3004228.741,2978265.364,29953.62,29434.15,-0.008642277016283,-0.017342478137868,103391
3526902,11781232.422,12154751.492,39441.56,40393.18,0.031704583749872,0.024127341819137,306114
3527108,3637862.8,3573979.747,47515.25,46402.67,-0.017560599866493,-0.023415219324322,78013
3527207,2407534.999,2439667.316,27488.3,27729.79,0.013346562776178,0.008785192245428,88706
3529005,7161823.892,7719607.347,30653.38,32816.72,0.077882877799196,0.070574272722943,238882
3529302,3779667.737,3821842.949,46162.19,46434,0.011158444322271,0.005888152186887,83170
3529401,14539610.021,16286408.566,31766.96,35251.59,0.120140673819796,0.109693530636863,472912
3530300,1848213.442,1956636.707,31694.16,33298.79,0.058663822335732,0.050628570058333,59824
3530508,2142378.192,2228391.848,31095.38,32298.34,0.040148679780811,0.03868613279529,68885
3530607,14562663.699,14470622.985,33920.22,33350.06,-0.006320321330109,-0.016808853244466,445842
3530706,5350783.829,5557420.343,36074.24,37199.26,0.038617989551377,0.031186242593053,151888
3530805,4276304.641,4456895.179,46517.47,48253.07,0.042230512828424,0.03731071358782,93189
